author,author_gender,date,recipient,recipient_gender,length,file_name
Gustave Flaubert,man,22 janvier 1842,Ernest Chevalier,man,,Correspondance_de_Gustave_Flaubert_Tome_1_0054
Gustave Flaubert,man,22 janvier 1842,Gourgaud-Dugazon,man,,Correspondance_de_Gustave_Flaubert_Tome_1_0055
Gustave Flaubert,man,23 Février 1842,Ernest Chevalier,man,,Correspondance_de_Gustave_Flaubert_Tome_1_0056
Gustave Flaubert,man,15 mars 1842,Ernest Chevalier,man,,Correspondance_de_Gustave_Flaubert_Tome_1_0057
Gustave Flaubert,man,10 avril 1842,Ernest Chevalier,man,,Correspondance_de_Gustave_Flaubert_Tome_1_0058
Gustave Flaubert,man,21 mai 1842,Ernest Chevalier,man,,Correspondance_de_Gustave_Flaubert_Tome_1_0059
Gustave Flaubert,man,25 juin 1842,Ernest Chevalier,man,,Correspondance_de_Gustave_Flaubert_Tome_1_0060
Gustave Flaubert,man,3 juillet 1842,Caroline Flaubert,woman,,Correspondance_de_Gustave_Flaubert_Tome_1_0061
Gustave Flaubert,man,22 juillet 1842,Ernest Chevalier,man,,Correspondance_de_Gustave_Flaubert_Tome_1_0062
Gustave Flaubert,man,26 juillet 1842,Caroline Flaubert,woman,,Correspondance_de_Gustave_Flaubert_Tome_1_0063
Gustave Flaubert,man,1 août 1842,Ernest Chevalier,man,,Correspondance_de_Gustave_Flaubert_Tome_1_0064
Gustave Flaubert,man,5 août 1842,Caroline Flaubert,woman,,Correspondance_de_Gustave_Flaubert_Tome_1_0065
Gustave Flaubert,man,6 septembre 1842,Ernest Chevalier,man,,Correspondance_de_Gustave_Flaubert_Tome_1_0066
Gustave Flaubert,man,21 octobre 1842,Ernest Chevalier,man,,Correspondance_de_Gustave_Flaubert_Tome_1_0067
Gustave Flaubert,man,12 novembre 1842,Caroline Flaubert,woman,,Correspondance_de_Gustave_Flaubert_Tome_1_0068
Gustave Flaubert,man,16 novembre 1842,Caroline Flaubert,woman,,Correspondance_de_Gustave_Flaubert_Tome_1_0069
Gustave Flaubert,man,novembre 1842,Caroline Flaubert,woman,,Correspondance_de_Gustave_Flaubert_Tome_1_0070
Gustave Flaubert,man,décembre 1842,Caroline Flaubert,woman,,Correspondance_de_Gustave_Flaubert_Tome_1_0071
Gustave Flaubert,man,décembre 1842,Caroline Flaubert,woman,,Correspondance_de_Gustave_Flaubert_Tome_1_0072
Gustave Flaubert,man,janvier 1843,Caroline Flaubert,woman,,Correspondance_de_Gustave_Flaubert_Tome_1_0073
Gustave Flaubert,man,10 février 1843,Ernest Chevalier,man,,Correspondance_de_Gustave_Flaubert_Tome_1_0074
Victor Hugo,man,16 janvier 1833,Mayer,man,,correspondance_hugo_1
Victor Hugo,man,18 janvier 1833,Sainte-Beuve,woman,,correspondance_hugo_2
Victor Hugo,man,15 février 1833,Louise Bertin,woman,,correspondance_hugo_3
Victor Hugo,man,24 février 1833,Sainte-Beuve,woman,,correspondance_hugo_4
Victor Hugo,man,25 février 1833,Sainte-Beuve,woman,,correspondance_hugo_5
Victor Hugo,man,27 février 1833,roi Joseph,man,,correspondance_hugo_6
Victor Hugo,man,10 mars 1833,Sainte-Beuve,woman,,correspondance_hugo_7
Victor Hugo,man,21 mars 1833,Jouslin de la Salle,man,,correspondance_hugo_8
Victor Hugo,man,31 mars 1833,Victor Pavie,man,,correspondance_hugo_9
Victor Hugo,man,1 mai 1833,Harel,man,,correspondance_hugo_10
Voltaire,man,6 janvier 1736,Abbé d'Olivet,man,,correspondance_voltaire_1
Voltaire,man,1736,Thieriot,man,,correspondance_voltaire_2
Voltaire,man,08 janvier 1736,De Cideville,man,,correspondance_voltaire_3
Voltaire,man,10 janvier 1736,Berger,man,,correspondance_voltaire_4
Voltaire,man,13 janvier 1736,Thieriot,man,,correspondance_voltaire_5
